EntryNo,tzname,IsDuplicate,OriginalTzNameIfDuplicate,FileSize,MD5Hash,CRC32Hash,SHA512Hash,FinalFileOffset,FinalFileLength
1,Africa/Abidjan,False,,130,796a57137d718e4fa3db8ef611f18e61,877b08f1,64a8de7d9e2e612a6e9438f2de598b11fecc5252052d92278c96dd6019abe7465e11c995e009dfbc76362080217e9df9091114bdbd1431828842348390cb997b,000079F8,130
2,Africa/Accra,True,Africa/Abidjan,130,796a57137d718e4fa3db8ef611f18e61,877b08f1,64a8de7d9e2e612a6e9438f2de598b11fecc5252052d92278c96dd6019abe7465e11c995e009dfbc76362080217e9df9091114bdbd1431828842348390cb997b,000079F8,130
3,Africa/Addis_Ababa,False,,191,fe54394a3dcf951bad3c293980109dd2,c6988db4,fe4cf1dd66ae0739f1051be91d729efebde5459967bbe41adbdd3330d84d167a7f8db6d4974225cb75e3b2d207480dfb3862f2b1dda717f33b9c11d33dcac418,00007A7A,191
4,Africa/Algiers,False,,470,da87d45f88e4684903d7dbb5b7ed08dc,c00e8ac3,0c53ae5eeefb5d6c6dab1dd04e81a4c95b246699d46cd61203c85a98c9b865214e8673af502be5cdd81ebefb3cbce128d87020fdded10e9fe057910cd426441a,00007B39,470
5,Africa/Asmara,True,Africa/Addis_Ababa,191,fe54394a3dcf951bad3c293980109dd2,c6988db4,fe4cf1dd66ae0739f1051be91d729efebde5459967bbe41adbdd3330d84d167a7f8db6d4974225cb75e3b2d207480dfb3862f2b1dda717f33b9c11d33dcac418,00007A7A,191
6,Africa/Asmera,True,Africa/Addis_Ababa,191,fe54394a3dcf951bad3c293980109dd2,c6988db4,fe4cf1dd66ae0739f1051be91d729efebde5459967bbe41adbdd3330d84d167a7f8db6d4974225cb75e3b2d207480dfb3862f2b1dda717f33b9c11d33dcac418,00007A7A,191
7,Africa/Bamako,True,Africa/Abidjan,130,796a57137d718e4fa3db8ef611f18e61,877b08f1,64a8de7d9e2e612a6e9438f2de598b11fecc5252052d92278c96dd6019abe7465e11c995e009dfbc76362080217e9df9091114bdbd1431828842348390cb997b,000079F8,130
8,Africa/Bangui,False,,180,89de77d185e9a76612bd5f9fb043a9c2,63b31da7,e2fb974fa770639d56edc5f267306be7ee9b00b9b214a06739c0dad0403903d8432e1c7b9d4322a8c9c31bd1faa8083e262f9d851c29562883ca3933e01d018c,00007D0F,180
9,Africa/Banjul,True,Africa/Abidjan,130,796a57137d718e4fa3db8ef611f18e61,877b08f1,64a8de7d9e2e612a6e9438f2de598b11fecc5252052d92278c96dd6019abe7465e11c995e009dfbc76362080217e9df9091114bdbd1431828842348390cb997b,000079F8,130
10,Africa/Bissau,False,,149,767406f25e6c1c5396e19a3be033304b,e0d53eca,5b7ad82dd6093652be36712b75d3bb27e4eb648deca78e9bea313b4208ca10b752111b31eed73dc32434ba3c91522df5766daf17e99cd8219a6476ef89773895,00007DC3,149
11,Africa/Blantyre,False,,131,9c92339423e915befec45cc4752a75ce,d4123f11,e5a3a1ab74a2620743964583ab960be126448ed013b57393eca6b397ac020de0be5763b6d40443b1976e0d3e6a533e8c46123fcb0428e5e233b076cf9ba69667,00007E58,131
12,Africa/Brazzaville,True,Africa/Bangui,180,89de77d185e9a76612bd5f9fb043a9c2,63b31da7,e2fb974fa770639d56edc5f267306be7ee9b00b9b214a06739c0dad0403903d8432e1c7b9d4322a8c9c31bd1faa8083e262f9d851c29562883ca3933e01d018c,00007D0F,180
13,Africa/Bujumbura,True,Africa/Blantyre,131,9c92339423e915befec45cc4752a75ce,d4123f11,e5a3a1ab74a2620743964583ab960be126448ed013b57393eca6b397ac020de0be5763b6d40443b1976e0d3e6a533e8c46123fcb0428e5e233b076cf9ba69667,00007E58,131
14,Africa/Cairo,False,,1309,8dcab26c06fc82939d77511b0c7c24b2,162923a5,a30a9ed096dc2f9314c560d0b620cc04dff9fc7335336eb9854833c5da6a9fb450534f3ea9d1ec14ac264617fb0f233cdbb6c10af13b5d3fc1e7380ae4e00f12,00007EDB,1309
15,Africa/Casablanca,False,,1919,12de6e9419a748db0e69972d23a640c2,3bb04231,6970d8cb85d460b2ce3114e88f619623505645d69413cc3bf4f18ba7bd4dfa580f33e2a85f774cab7e937ccd4be98eee046d5b217aae0a1239f1e90ef692eb31,000083F8,1919
16,Africa/Ceuta,False,,562,00636062cbcd94f2ead5a75cc197675a,ddeb1b9f,8407ba0f0edf2e92f33aab3331c36b07021741571c78ff9ca08ad107350d5b71e198f7e1c56219970c5a588427900216bb033eb5a3c97c3f3f320156ca15a519,00008B77,562
17,Africa/Conakry,True,Africa/Abidjan,130,796a57137d718e4fa3db8ef611f18e61,877b08f1,64a8de7d9e2e612a6e9438f2de598b11fecc5252052d92278c96dd6019abe7465e11c995e009dfbc76362080217e9df9091114bdbd1431828842348390cb997b,000079F8,130
18,Africa/Dakar,True,Africa/Abidjan,130,796a57137d718e4fa3db8ef611f18e61,877b08f1,64a8de7d9e2e612a6e9438f2de598b11fecc5252052d92278c96dd6019abe7465e11c995e009dfbc76362080217e9df9091114bdbd1431828842348390cb997b,000079F8,130
19,Africa/Dar_es_Salaam,True,Africa/Addis_Ababa,191,fe54394a3dcf951bad3c293980109dd2,c6988db4,fe4cf1dd66ae0739f1051be91d729efebde5459967bbe41adbdd3330d84d167a7f8db6d4974225cb75e3b2d207480dfb3862f2b1dda717f33b9c11d33dcac418,00007A7A,191
20,Africa/Djibouti,True,Africa/Addis_Ababa,191,fe54394a3dcf951bad3c293980109dd2,c6988db4,fe4cf1dd66ae0739f1051be91d729efebde5459967bbe41adbdd3330d84d167a7f8db6d4974225cb75e3b2d207480dfb3862f2b1dda717f33b9c11d33dcac418,00007A7A,191
21,Africa/Douala,True,Africa/Bangui,180,89de77d185e9a76612bd5f9fb043a9c2,63b31da7,e2fb974fa770639d56edc5f267306be7ee9b00b9b214a06739c0dad0403903d8432e1c7b9d4322a8c9c31bd1faa8083e262f9d851c29562883ca3933e01d018c,00007D0F,180
22,Africa/El_Aaiun,False,,1830,8ba86418f34ed83656d38bcfb19f85ea,67c6d390,74009cea6142512529182b8a07c2283f47579ef73cf852e87483aa397057521a7359859cad8a917bbd13387a63bc8c0f2348e16ca41b95713bb030b70ff2d95d,00008DA9,1830
23,Africa/Freetown,True,Africa/Abidjan,130,796a57137d718e4fa3db8ef611f18e61,877b08f1,64a8de7d9e2e612a6e9438f2de598b11fecc5252052d92278c96dd6019abe7465e11c995e009dfbc76362080217e9df9091114bdbd1431828842348390cb997b,000079F8,130
24,Africa/Gaborone,True,Africa/Blantyre,131,9c92339423e915befec45cc4752a75ce,d4123f11,e5a3a1ab74a2620743964583ab960be126448ed013b57393eca6b397ac020de0be5763b6d40443b1976e0d3e6a533e8c46123fcb0428e5e233b076cf9ba69667,00007E58,131
25,Africa/Harare,True,Africa/Blantyre,131,9c92339423e915befec45cc4752a75ce,d4123f11,e5a3a1ab74a2620743964583ab960be126448ed013b57393eca6b397ac020de0be5763b6d40443b1976e0d3e6a533e8c46123fcb0428e5e233b076cf9ba69667,00007E58,131
26,Africa/Johannesburg,False,,190,a46a56e63a69fd5c5373a33203250d39,ce540ccc,fc9c48be574219047f00bf2ba91e085076aec96db89f5e44741596b10b8766d4f80da3676d421a6a929b48a7eb85e4eafa4cc4673fc40d8f45aa96569c48e12b,000094CF,190
27,Africa/Juba,False,,458,c263ea3cac3cd3410ac15d96040c3b3c,6e10cf14,9e7ed8728fdfb5d9485d9aeea49c8fb9de4530404478256d41cd12a160b8247f2c6d571c9086532b99f0b8646402986c8fe81d8a8d761bda423d662a673de688,0000958D,458
28,Africa/Kampala,True,Africa/Addis_Ababa,191,fe54394a3dcf951bad3c293980109dd2,c6988db4,fe4cf1dd66ae0739f1051be91d729efebde5459967bbe41adbdd3330d84d167a7f8db6d4974225cb75e3b2d207480dfb3862f2b1dda717f33b9c11d33dcac418,00007A7A,191
29,Africa/Khartoum,False,,458,d00638c4bf95fabcc0c651f13e32e253,ef44ad56,17a4bb01d8d304fc1597eca373eb496ebf6f8c2bcfacee286e9d396f7e957d55b9fafa55d110c56f8f8ce49ab43b7de277eb011ef27a6b77bd136691425509ca,00009757,458
30,Africa/Kigali,True,Africa/Blantyre,131,9c92339423e915befec45cc4752a75ce,d4123f11,e5a3a1ab74a2620743964583ab960be126448ed013b57393eca6b397ac020de0be5763b6d40443b1976e0d3e6a533e8c46123fcb0428e5e233b076cf9ba69667,00007E58,131
31,Africa/Kinshasa,True,Africa/Bangui,180,89de77d185e9a76612bd5f9fb043a9c2,63b31da7,e2fb974fa770639d56edc5f267306be7ee9b00b9b214a06739c0dad0403903d8432e1c7b9d4322a8c9c31bd1faa8083e262f9d851c29562883ca3933e01d018c,00007D0F,180
32,Africa/Lagos,True,Africa/Bangui,180,89de77d185e9a76612bd5f9fb043a9c2,63b31da7,e2fb974fa770639d56edc5f267306be7ee9b00b9b214a06739c0dad0403903d8432e1c7b9d4322a8c9c31bd1faa8083e262f9d851c29562883ca3933e01d018c,00007D0F,180
33,Africa/Libreville,True,Africa/Bangui,180,89de77d185e9a76612bd5f9fb043a9c2,63b31da7,e2fb974fa770639d56edc5f267306be7ee9b00b9b214a06739c0dad0403903d8432e1c7b9d4322a8c9c31bd1faa8083e262f9d851c29562883ca3933e01d018c,00007D0F,180
34,Africa/Lome,True,Africa/Abidjan,130,796a57137d718e4fa3db8ef611f18e61,877b08f1,64a8de7d9e2e612a6e9438f2de598b11fecc5252052d92278c96dd6019abe7465e11c995e009dfbc76362080217e9df9091114bdbd1431828842348390cb997b,000079F8,130
35,Africa/Luanda,True,Africa/Bangui,180,89de77d185e9a76612bd5f9fb043a9c2,63b31da7,e2fb974fa770639d56edc5f267306be7ee9b00b9b214a06739c0dad0403903d8432e1c7b9d4322a8c9c31bd1faa8083e262f9d851c29562883ca3933e01d018c,00007D0F,180
36,Africa/Lubumbashi,True,Africa/Blantyre,131,9c92339423e915befec45cc4752a75ce,d4123f11,e5a3a1ab74a2620743964583ab960be126448ed013b57393eca6b397ac020de0be5763b6d40443b1976e0d3e6a533e8c46123fcb0428e5e233b076cf9ba69667,00007E58,131
37,Africa/Lusaka,True,Africa/Blantyre,131,9c92339423e915befec45cc4752a75ce,d4123f11,e5a3a1ab74a2620743964583ab960be126448ed013b57393eca6b397ac020de0be5763b6d40443b1976e0d3e6a533e8c46123fcb0428e5e233b076cf9ba69667,00007E58,131
38,Africa/Malabo,True,Africa/Bangui,180,89de77d185e9a76612bd5f9fb043a9c2,63b31da7,e2fb974fa770639d56edc5f267306be7ee9b00b9b214a06739c0dad0403903d8432e1c7b9d4322a8c9c31bd1faa8083e262f9d851c29562883ca3933e01d018c,00007D0F,180
39,Africa/Maputo,True,Africa/Blantyre,131,9c92339423e915befec45cc4752a75ce,d4123f11,e5a3a1ab74a2620743964583ab960be126448ed013b57393eca6b397ac020de0be5763b6d40443b1976e0d3e6a533e8c46123fcb0428e5e233b076cf9ba69667,00007E58,131
40,Africa/Maseru,True,Africa/Johannesburg,190,a46a56e63a69fd5c5373a33203250d39,ce540ccc,fc9c48be574219047f00bf2ba91e085076aec96db89f5e44741596b10b8766d4f80da3676d421a6a929b48a7eb85e4eafa4cc4673fc40d8f45aa96569c48e12b,000094CF,190
41,Africa/Mbabane,True,Africa/Johannesburg,190,a46a56e63a69fd5c5373a33203250d39,ce540ccc,fc9c48be574219047f00bf2ba91e085076aec96db89f5e44741596b10b8766d4f80da3676d421a6a929b48a7eb85e4eafa4cc4673fc40d8f45aa96569c48e12b,000094CF,190
42,Africa/Mogadishu,True,Africa/Addis_Ababa,191,fe54394a3dcf951bad3c293980109dd2,c6988db4,fe4cf1dd66ae0739f1051be91d729efebde5459967bbe41adbdd3330d84d167a7f8db6d4974225cb75e3b2d207480dfb3862f2b1dda717f33b9c11d33dcac418,00007A7A,191
