EntryNo,tzname,IsDuplicate,OriginalTzNameIfDuplicate,FileSize,MD5Hash,CRC32Hash,SHA512Hash,FinalFileOffset,FinalFileLength
1,Africa/Abidjan,False,,148,09a9397080948b96d97819d636775e33,8818ae6d,2eccf2515599ed261e96da3fbcfbab0b6a2dfc86a1d87e3814091709f0bfe2f600c3044c8555ed027978a8ae9045666ee639a8c249f48d665d8e5c60f0597799,00007990,148
2,Africa/Accra,True,Africa/Abidjan,148,09a9397080948b96d97819d636775e33,8818ae6d,2eccf2515599ed261e96da3fbcfbab0b6a2dfc86a1d87e3814091709f0bfe2f600c3044c8555ed027978a8ae9045666ee639a8c249f48d665d8e5c60f0597799,00007990,148
3,Africa/Addis_Ababa,False,,265,86dcc322e421bc8bdd14925e9d61cd6c,191dc50a,d32771be8629fb3186723c8971f06c3803d31389438b29bf6baa958b3f9db9a38971019583ba272c7a8f5eb4a633dfc467bfcb6f76faa8e290bad4fd7366bb2b,00007A24,265
4,Africa/Algiers,False,,735,02fd02222ebd0692f89054184ff65b1b,9af98784,c23175d3b50eea033dbe07ca05eac9f26492b088b9dc608fd2adbf9317cd31d36510c3f6e62eb4b7dfb78826b93c600f38aae5471e2ae0f9984f5916cf826705,00007B2D,735
5,Africa/Asmara,True,Africa/Addis_Ababa,265,86dcc322e421bc8bdd14925e9d61cd6c,191dc50a,d32771be8629fb3186723c8971f06c3803d31389438b29bf6baa958b3f9db9a38971019583ba272c7a8f5eb4a633dfc467bfcb6f76faa8e290bad4fd7366bb2b,00007A24,265
6,Africa/Asmera,True,Africa/Addis_Ababa,265,86dcc322e421bc8bdd14925e9d61cd6c,191dc50a,d32771be8629fb3186723c8971f06c3803d31389438b29bf6baa958b3f9db9a38971019583ba272c7a8f5eb4a633dfc467bfcb6f76faa8e290bad4fd7366bb2b,00007A24,265
7,Africa/Bamako,True,Africa/Abidjan,148,09a9397080948b96d97819d636775e33,8818ae6d,2eccf2515599ed261e96da3fbcfbab0b6a2dfc86a1d87e3814091709f0bfe2f600c3044c8555ed027978a8ae9045666ee639a8c249f48d665d8e5c60f0597799,00007990,148
8,Africa/Bangui,False,,235,8244c4cc8508425b6612fa24df71e603,8161cc78,560c7581dcb2c800eae779005e41406beaf15d24efc763304e3111b9bb6074fe0ba59c48b5a2c5511245551b94418bbc35934d9bd46313fcc6e383323056668c,00007E0C,235
9,Africa/Banjul,True,Africa/Abidjan,148,09a9397080948b96d97819d636775e33,8818ae6d,2eccf2515599ed261e96da3fbcfbab0b6a2dfc86a1d87e3814091709f0bfe2f600c3044c8555ed027978a8ae9045666ee639a8c249f48d665d8e5c60f0597799,00007990,148
10,Africa/Bissau,False,,194,af82ce73e5877a3dfd5c9dc93e869fa9,ae4855d6,8fc5a44d56629fd39c31215ae007350b7fa46e2e8026c2b493356c957298bdd7771981b047a338bb7ab39ba84c67745d77669f747d0ec151e3f4bcffc3edadb8,00007EF7,194
11,Africa/Blantyre,False,,149,b07064beada5be6289ed9485ecc9733d,d96b2c77,0ce1322f4a6f6568cdf61fc699eead4147015829650e90d791c223b45f3a23ead720ff41b4c8cc10ee915175e052d4740347a4454d23c18a3c57d30ded5a904c,00007FB9,149
12,Africa/Brazzaville,True,Africa/Bangui,235,8244c4cc8508425b6612fa24df71e603,8161cc78,560c7581dcb2c800eae779005e41406beaf15d24efc763304e3111b9bb6074fe0ba59c48b5a2c5511245551b94418bbc35934d9bd46313fcc6e383323056668c,00007E0C,235
13,Africa/Bujumbura,True,Africa/Blantyre,149,b07064beada5be6289ed9485ecc9733d,d96b2c77,0ce1322f4a6f6568cdf61fc699eead4147015829650e90d791c223b45f3a23ead720ff41b4c8cc10ee915175e052d4740347a4454d23c18a3c57d30ded5a904c,00007FB9,149
14,Africa/Cairo,False,,2399,929588a8bc1a9b6cf9b9222e28bb7aef,446386f1,7ad8b1e98fc73bbd2e1aafa9f5c89da4bcae7899920e597dd72be88c5d37e044083eec4d0099eda6771286d4a6099727542cdad48a1e228ea816952f6fb6796f,0000804E,2399
15,Africa/Casablanca,False,,2429,40fc055519fdf962fea4c0bf1729345f,142d4bd4,8880310d74f1088154a7ffae623a98ee430d03e11a0b90e835d9135a3ac02bb6485af34a0d700d97e18f4883b0921ec177dc0fdf58a564dfddb4036217e9df72,000089AD,2429
16,Africa/Ceuta,False,,2052,7ae9e7e681bfbc7cca6da3f3735e9cf3,5e48fe01,1d106bcfbd84bc78f2d6128149d0c6eeb34be3007939b0ad0cd028e09875b590fd776b8d274aa24654b603a51cb8a8a83007da6341b874d9711e75b85e32da21,0000932A,2052
17,Africa/Conakry,True,Africa/Abidjan,148,09a9397080948b96d97819d636775e33,8818ae6d,2eccf2515599ed261e96da3fbcfbab0b6a2dfc86a1d87e3814091709f0bfe2f600c3044c8555ed027978a8ae9045666ee639a8c249f48d665d8e5c60f0597799,00007990,148
18,Africa/Dakar,True,Africa/Abidjan,148,09a9397080948b96d97819d636775e33,8818ae6d,2eccf2515599ed261e96da3fbcfbab0b6a2dfc86a1d87e3814091709f0bfe2f600c3044c8555ed027978a8ae9045666ee639a8c249f48d665d8e5c60f0597799,00007990,148
19,Africa/Dar_es_Salaam,True,Africa/Addis_Ababa,265,86dcc322e421bc8bdd14925e9d61cd6c,191dc50a,d32771be8629fb3186723c8971f06c3803d31389438b29bf6baa958b3f9db9a38971019583ba272c7a8f5eb4a633dfc467bfcb6f76faa8e290bad4fd7366bb2b,00007A24,265
